MTB,M&T Bank Corp,Financials,USA,84.48
IT,Gartner Inc,Information Technology,USA,97.37
FANG,Diamondback Energy Inc,Energy,USA,100.0
FE,Firstenergy Corp,Utilities,USA,86.27
VRSN,Verisign Inc,Information Technology,USA,60.0
FOX,Fox Corporation Class B,Communication Services,USA,89.09
FOXA,Fox Corporation Class A,Communication Services,USA,89.09
ALB,Albemarle Corp,Materials,USA,78.4
VFC,VF Corp,Consumer Discretionary,USA,96.77
DTE,DTE Energy,Utilities,USA,94.38
DOV,Dover Corp,Industrials,USA,89.25
HBAN,Huntington Bancshares Inc,Financials,USA,88.24
EIX,Edison International,Utilities,USA,91.26
SGEN,Seattle Genetics Inc,Health Care,USA,100.0
RF,Regions Financial Corp,Financials,USA,89.01
SYF,Synchrony Financial,Financials,USA,98.53
DOCU,Docusign Inc-,Information Technology,USA,98.33
URI,United Rentals Inc,Industrials,USA,81.03
FTV,Fortive Corp,Industrials,USA,98.08
STE,STERIS PLC,Health Care,USA,100.0
CFG,Citizens Financial Group Inc,Financials,USA,95.83
RJF,Raymond James Inc,Financials,USA,93.75
ZBRA,Zebra Technologies Corp,Information Technology,USA,95.45
PKI,Perkinelmer Inc,Health Care,USA,88.89
HPE,Hewlett Packard Enterprise,Information Technology,USA,74.6
SWKS,Skyworks Solutions Inc,Information Technology,USA,95.27
YUMC,Yum China Holdings Inc,Consumer Discretionary,China,89.47
K,Kellogg,Consumer Staples,USA,77.78
PLTR,Palantir Technologies Inc-,Information Technology,USA,25.0
GRMN,Garmin Ltd,Consumer Discretionary,USA,57.14
AEE,Ameren Corp,Utilities,USA,79.49
IR,Ingersoll Rand Plc,Industrials,USA,100.0
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,USA,90.08
PPL,PPL Corporation,Utilities,USA,89.36
HZNP,Horizon Pharma Plc,Health Care,USA,100.0
MPWR,Monolithic Power Systems Inc,Information Technology,USA,100.0
ETR,Entergy Corp,Utilities,USA,77.11
AVTR,"Avantor, Inc-",Health Care,USA,100.0
COO,"Cooper Companies, Inc-",Health Care,USA,97.4
SBNY,Signature Bank,Financials,USA,99.15
MGM,MGM Resorts International,Consumer Discretionary,USA,96.88
CINF,Cincinnati Financial Corp,Financials,USA,62.5
NTAP,NetApp Inc,Information Technology,USA,69.87
ULTA,Ulta Beauty Inc,Consumer Discretionary,USA,100.0
ENPH,Enphase Energy Inc,Information Technology,USA,90.0
CLR,Continental Resources Inc,Energy,USA,86.83
JBHT,JB Hunt Transport Services Inc,Industrials,USA,95.05
PAYC,Paycom Software Inc,Information Technology,USA,96.04
VIACA,ViacomCBS Inc- - Class A,Communication Services,USA,72.73
TDY,Teledyne Technologies Inc,Information Technology,USA,86.36
WAT,Waters Corp,Health Care,USA,54.05
FLT,Fleetcor Technologies Inc,Information Technology,USA,100.0
GNRC,Generac Holdings Inc,Industrials,USA,94.2
PFG,Principal Financial Group Inc,Financials,USA,52.63
SSNC,"SS&C Technologies Holdings, Inc-",Information Technology,USA,100.0
TER,Teradyne Inc,Information Technology,USA,98.65
TRU,TransUnion,Industrials,USA,100.0
TTWO,Take Two Interactive Software Inc,Communication Services,USA,98.45
MOH,Molina Healthcare Inc,Health Care,USA,86.0
SPLK,Splunk Inc,Information Technology,USA,97.94
CTRA,Coterra Energy Inc-,Energy,USA,95.19
BRO,Brown & Brown Inc,Financials,USA,58.33
ROKU,Roku Class A,Communication Services,USA,81.37
DRI,Darden Restaurants Inc,Consumer Discretionary,USA,93.12
GPC,Genuine Parts,Consumer Discretionary,USA,55.17
ACGL,Arch Capital Group Ltd,Financials,USA,82.5
ENTG,Entegris Inc,Information Technology,USA,100.0
CMS,CMS Energy Corp,Utilities,USA,100.0
ALNY,Alnylam Pharmaceuticals Inc,Health Care,USA,100.0
EXPD,Expeditors International Of Washington,Industrials,USA,38.3
OMC,Omnicom Group Inc,Communication Services,USA,68.29
WAB,Westinghouse Air Brake Technologies,Industrials,USA,96.15
CLX,Clorox,Consumer Staples,USA,27.03
VTRS,Viatris Inc-,Health Care,USA,66.67
POOL,Pool Corp,Consumer Discretionary,USA,100.0
BIO,Bio Rad Laboratories Inc Class A,Health Care,USA,100.0
IP,International Paper,Materials,USA,78.85
AMCR,Amcor plc,Materials,United Kingdom,75.0
WDC,Western Digital Corp,Information Technology,USA,93.19
NUAN,Nuance Communications Inc,Information Technology,USA,97.96
TYL,Tyler Technologies Inc,Information Technology,USA,100.0
CTLT,Catalent Inc,Health Care,USA,100.0
CZR,Caesars Entertainment Corp,Consumer Discretionary,USA,82.0
HOLX,Hologic Inc,Health Care,USA,96.25
MOS,Mosaic,Materials,USA,81.91
HEI,Heico Corp,Industrials,USA,95.83
HEI-A,Heico Corporation Class A,Industrials,USA,95.83
KMX,Carmax Inc,Consumer Discretionary,USA,97.56
CAG,Conagra Brands Inc,Consumer Staples,USA,84.31
RPRX,Royalty Pharma plc - Class A,Health Care,USA,100.0
ALLY,Ally Financial Inc,Financials,USA,98.65
AGR,Avangrid Inc,Utilities,USA,70.83
MKL,Markel Corp,Financials,USA,75.0
TRMB,Trimble Inc,Information Technology,USA,93.48
MRO,Marathon Oil Corp,Energy,USA,90.43
NVR,"NVR, Inc-",Consumer Discretionary,USA,68.42
CNP,Centerpoint Energy Inc,Utilities,USA,83.64
ETSY,Etsy Inc,Consumer Discretionary,USA,88.03
AKAM,Akamai Technologies Inc,Information Technology,USA,90.38
BR,Broadridge Financial Solutions Inc,Information Technology,USA,100.0
PODD,Insulet Corp,Health Care,USA,95.06
BMRN,Biomarin Pharmaceutical Inc,Health Care,USA,100.0
CE,Celanese Corporation,Materials,USA,98.36
NLOK,NortonLifeLock Inc-,Information Technology,USA,93.33
EMN,Eastman Chemical,Materials,USA,98.18
CF,CF Industries Holdings Inc,Materials,USA,84.52
CG,Carlyle Group,Financials,USA,96.15
XYL,Xylem Inc,Industrials,USA,80.65
WRB,WR Berkley Corp,Financials,USA,51.61
DGX,Quest Diagnostics Inc,Health Care,USA,79.1
DISH,Dish Network Corp Class A,Communication Services,USA,70.59
DPZ,Dominos Pizza Inc,Consumer Discretionary,USA,96.18
UAL,United Continental Holdings Inc,Industrials,USA,82.35
TECH,Bio-Techne Corp,Health Care,USA,100.0
CCK,Crown Holdings Inc,Materials,USA,100.0
J,Jacobs Engineering Group Inc-,Industrials,USA,97.5
TXT,Textron Inc,Industrials,USA,95.0
ROL,Rollins Inc,Industrials,USA,90.0
FDS,Factset Research Systems Inc,Financials,USA,32.0
Z,Zillow Group Inc Class C,Real Estate,USA,90.16
ZG,Zillow Group Inc Class A,Real Estate,USA,90.16
PINS,"Pinterest, Inc- Class A",Communication Services,USA,98.44
L,Loews Corp,Financials,USA,100.0
UI,Ubiquiti Inc-,Information Technology,USA,33.33
AVY,Avery Dennison Corp,Materials,USA,86.89
BEN,Franklin Resources Inc,Financials,USA,37.31
CAH,Cardinal Health Inc,Health Care,USA,90.32
DISCK,"Discovery Communications, Inc- - Series C",Communication Services,USA,78.82
DISCA,Discovery Communications Inc Series A,Communication Services,USA,78.82
INCY,Incyte Corp,Health Care,USA,96.25
SJM,J-M- Smucker,Consumer Staples,USA,64.1
FMC,FMC Corp,Materials,USA,97.92
HWM,Howmet Aerospace Inc-,Industrials,USA,100.0
TFX,Teleflex Inc,Health Care,USA,100.0
CEG,Constellation Energy Corporation,Utilities,USA,
CRL,Charles River Laboratories International,Health Care,USA,90.48
PWR,Quanta Services Inc,Industrials,USA,98.36
LPLA,LPL Financial Holdings Inc,Financials,USA,91.78
BURL,Burlington Stores Inc,Consumer Discretionary,USA,99.25
ATO,Atmos Energy Corp,Utilities,USA,93.75
QRVO,"Qorvo, Inc-",Information Technology,USA,96.08
IEX,IDEX Corp,Industrials,USA,97.83
AES,AES Corp,Utilities,USA,95.24
AA,Alcoa Corp,Materials,USA,92.24
TRGP,Targa Resources Corp,Energy,USA,94.4
MKTX,Marketaxess Holdings Inc,Financials,USA,69.7
LYFT,"Lyft, Inc- - Class A",Industrials,USA,97.0
IPG,Interpublic Group Of Companies Inc,Communication Services,USA,88.68
ZEN,Zendesk Inc,Information Technology,USA,100.0
LNT,Alliant Energy Corp,Utilities,USA,96.55
PKG,Packaging Corp Of America,Materials,USA,87.88
BG,Bunge Ltd,Consumer Staples,USA,97.92
WLK,Westlake Chemical Corp,Materials,USA,71.19
EVRG,Evergy Inc,Utilities,USA,78.57
ABMD,Abiomed Inc,Health Care,USA,83.33
LKQ,LKQ Corp,Consumer Discretionary,USA,100.0
MAS,Masco Corp,Industrials,USA,98.02
GDDY,GoDaddy Inc- Class A,Information Technology,USA,98.61
HAS,Hasbro Inc,Consumer Discretionary,USA,89.19
NWS,News Corp Class B,Communication Services,USA,94.12
NWSA,News Corp Class A,Communication Services,USA,94.12
AAP,Advance Auto Parts Inc,Consumer Discretionary,USA,87.18
EQH,AXA Equitable Holdings Inc,Financials,USA,100.0
BBWI,"Bath & Body Works, Inc-",Consumer Discretionary,USA,100.0
FNF,Fidelity National Financial Inc,Financials,USA,100.0
ACI,"Albertsons Companies, Inc- Class A",Consumer Staples,USA,58.82
RHI,Robert Half,Industrials,USA,69.39
FICO,Fair Isaac Corp,Information Technology,USA,100.0
PLUG,Plug Power Inc,Industrials,USA,92.0
